Month,Revenue,Costs,Profit,GrowthRate
2017-07,4899603,3406765,1492838,52.932086097128476
2017-08,2511865,2826396,-314531,-48.733295330254315
2017-09,2108745,1661107,447638,-16.048633186895
2017-10,3395126,3523335,-128209,61.00220747411376
2017-11,4069158,4125178,-56020,19.85293034779858
2017-12,4821185,2721949,2099236,18.481145239383668
2018-01,4934448,707125,4227323,2.3492772005222706
2018-02,4052525,3527595,524930,-17.872779285545214
2018-03,1201145,720404,480741,-70.36057766454248
2018-04,4653193,710459,3942734,287.39644256105635
2018-05,798656,3668753,-2870097,-82.83638783089376
2018-06,2911073,2607917,303156,264.4964790848626
2018-07,4721736,954289,3767447,62.19916161497841
2018-08,3066957,998313,2068644,-35.04598732330651
2018-09,4440579,3903687,536892,44.787781504598854
2018-10,1882345,644183,1238162,-57.610370179204104
2018-11,2057639,1356036,701603,9.312533037248748
2018-12,4987099,322635,4664464,142.3699686874131
2019-01,689908,3650461,-2960553,-86.16614588962442
2019-02,4071259,2922335,1148924,490.11621839433667
2019-03,3752376,1361952,2390424,-7.832540253518627
2019-04,3699327,2083730,1615597,-1.4137442516421572
2019-05,4755510,573974,4181536,28.550679623618038
2019-06,4038421,1806057,2232364,-15.079118748567454
2019-07,2757146,3724298,-967152,-31.727128003742056
2019-08,1967422,2692609,-725187,-28.642806728406832
2019-09,1764374,449036,1315338,-10.320510800428174
2019-10,1067412,3426926,-2359514,-39.50194233195457
2019-11,1219598,3566164,-2346566,14.257475089281368
2019-12,1144474,407248,737226,-6.159734601073463
2020-01,2837521,2298001,539520,147.93232524286265
2020-02,4131686,1069104,3062582,45.609001660252034
2020-03,4481448,565507,3915941,8.465357725635482
2020-04,4334003,2743785,1590218,-3.2901196220507245
2020-05,2071791,3646383,-1574592,-52.19682589052199
2020-06,2204342,565290,1639052,6.397894382203617
2020-07,3244825,1331519,1913306,47.201523175623386
2020-08,1046922,4050800,-3003878,-67.73564059695053
2020-09,3495708,2827452,668256,233.90338535249043
2020-10,4956231,3483425,1472806,41.78046335677923
2020-11,2406764,3953013,-1546249,-51.43963225281469
2020-12,865134,4287972,-3422838,-64.05405764753004
2021-01,4117851,3585618,532233,375.9784033456089
2021-02,1486048,2764837,-1278789,-63.91205024174017
2021-03,1124060,3881222,-2757162,-24.359105493227673
2021-04,1590429,1215510,374919,41.48968916250022
2021-05,4043672,2130580,1913092,154.25039407606374
2021-06,3293395,822322,2471073,-18.554348621747764
2021-07,3279911,1770579,1509332,-0.4094255320117979
2021-08,1584713,3378080,-1793367,-51.684268262157104
2021-09,1900656,2115068,-214412,19.936922332308747
2021-10,769820,3444459,-2674639,-59.49714203938008
2021-11,1164370,4020077,-2855707,51.252240783559785
2021-12,2426353,2176430,249923,108.38333175880521
2022-01,4567796,2826549,1741247,88.2576855057776
2022-02,3391085,2749852,641233,-25.76102347828143
2022-03,4964275,3965721,998554,46.391936504098254
2022-04,4313555,2121869,2191686,-13.108057067749069
2022-05,2074590,3185656,-1111066,-51.905330985695095
2022-06,4177104,385881,3791223,101.34600089656271
2022-07,2955690,3793449,-837759,-29.24068924307367
2022-08,4148561,600549,3548012,40.358461137670055
2022-09,2342561,3680722,-1338161,-43.53316728378829
2022-10,4175999,1605523,2570476,78.2663930629768
2022-11,4699015,4230286,468729,12.524332501037483
2022-12,1711721,2317288,-605567,-63.57277003797604
2023-01,609146,3980630,-3371484,-64.41324257866789
2023-02,1807852,2061452,-253600,196.78467887829848
2023-03,4941151,2367122,2574029,173.31612322247616
2023-04,1331510,560619,770891,-73.05263490227277
2023-05,3406265,1042648,2363617,155.81970845130715
