ClientID,CompanyName,Industry,Country,ContractValue,ContractType,DurationMonths,ContractStartDate
57,"Miller, Moreno and Jensen",Manufacturing,Pakistan,189900,SaaS,10,2023-01-20
58,Li-Ruiz,Healthcare,Faroe Islands,282704,SaaS,12,2022-07-01
59,"Griffith, Lamb and Diaz",Healthcare,Egypt,411888,Consulting,20,2023-09-22
60,Larson-Harris,Manufacturing,Turkey,219524,SaaS,17,2023-04-08
61,Curry Group,Technology,Falkland Islands (Malvinas),371780,Consulting,30,2024-06-08
62,Chan LLC,Technology,Djibouti,422865,SaaS,15,2025-02-18
63,Lee Ltd,Healthcare,Costa Rica,383142,Enterprise,14,2022-06-09
64,Mccall Inc,Retail,British Virgin Islands,169304,Consulting,12,2023-11-15
65,Hogan-Figueroa,Healthcare,Kazakhstan,311515,Consulting,19,2024-01-05
66,Sosa-Hall,Finance,Bulgaria,342430,SaaS,30,2024-12-09
67,"Burke, Gomez and Taylor",Finance,Pitcairn Islands,247228,Consulting,7,2022-12-29
68,Brown-Collins,Finance,Jordan,5627,Consulting,33,2024-11-26
69,"Singh, Wolf and Sullivan",Healthcare,Hungary,271287,SaaS,26,2024-03-01
70,"Yates, Hall and Marks",Retail,Fiji,214546,Custom Development,35,2025-01-09
71,"Lee, Russell and Norton",Retail,Cape Verde,174519,Consulting,9,2024-05-03
72,Carter-Anderson,Manufacturing,Jordan,192995,Consulting,22,2023-11-27
73,Gilbert Ltd,Retail,Somalia,163032,SaaS,16,2024-10-15
74,"Maldonado, Cox and Black",Healthcare,Guam,346054,Custom Development,17,2024-04-17
75,King LLC,Finance,Argentina,454585,Consulting,29,2024-05-15
76,Dougherty and Sons,Technology,Belarus,450920,SaaS,24,2024-10-31
77,"Escobar, Gregory and Allen",Retail,Saint Lucia,318386,Custom Development,18,2023-08-19
78,Johnson-Little,Retail,French Southern Territories,311409,Consulting,33,2023-08-29
79,"King, Davis and Rodriguez",Retail,Uganda,330959,Consulting,36,2023-06-08
80,"Johnson, Adams and Hester",Finance,Mauritania,480645,Enterprise,11,2023-01-26
81,"Thompson, Williams and Gonzalez",Retail,Saint Vincent and the Grenadines,165154,Enterprise,16,2022-09-20
82,Manning LLC,Retail,Nauru,380484,Consulting,24,2024-12-02
83,Thompson-Miller,Retail,Tanzania,343729,SaaS,21,2023-03-23
84,"Lane, Moore and Thomas",Retail,Seychelles,29442,Consulting,23,2022-11-19
85,Espinoza-Fisher,Technology,Taiwan,83874,Custom Development,8,2022-12-25
86,"Craig, Carter and Gray",Retail,Estonia,419933,SaaS,30,2023-10-09
87,"Brooks, Bailey and Terrell",Healthcare,San Marino,278713,Custom Development,12,2024-03-28
88,Pitts PLC,Finance,Svalbard & Jan Mayen Islands,339040,Enterprise,19,2024-10-18
89,"Jones, Chambers and Calderon",Finance,Somalia,325127,Custom Development,29,2024-12-13
90,Henson PLC,Technology,Faroe Islands,153764,Enterprise,29,2024-01-27
91,Todd-Butler,Healthcare,Wallis and Futuna,96101,Enterprise,11,2024-11-03
92,Hill Inc,Finance,Turks and Caicos Islands,449603,SaaS,21,2025-02-22
93,Long and Sons,Manufacturing,Kuwait,14400,SaaS,13,2024-11-30
94,Hunt-Holland,Manufacturing,Senegal,37011,SaaS,10,2022-03-21
95,Lee-Nguyen,Manufacturing,Greece,114967,Enterprise,19,2022-07-08
96,Miller-Huber,Finance,Zimbabwe,215905,Enterprise,28,2022-12-26
97,"Schultz, Watson and Haney",Technology,Saint Lucia,445152,Custom Development,35,2022-04-28
98,Reyes Group,Technology,Angola,443266,Enterprise,17,2024-08-29
99,Willis Inc,Retail,Poland,52377,Consulting,33,2023-07-26
100,Mcdonald-Williams,Manufacturing,Falkland Islands (Malvinas),318760,Custom Development,20,2023-04-26
101,Young-Chandler,Finance,Russian Federation,156052,SaaS,10,2023-08-07
102,Bell-Brooks,Healthcare,Greenland,234236,Consulting,34,2025-01-20
103,Galvan LLC,Manufacturing,Cape Verde,449159,Custom Development,26,2024-10-22
104,Murray PLC,Manufacturing,Isle of Man,256895,Consulting,12,2023-09-25
105,Adkins PLC,Technology,Andorra,209328,Consulting,11,2024-09-17
106,Long Group,Finance,Saint Kitts and Nevis,117142,Enterprise,11,2024-11-28
107,Foster LLC,Technology,Guam,153430,Enterprise,20,2024-02-25
108,Robinson PLC,Retail,Sweden,144687,SaaS,13,2023-11-21
109,"Rodriguez, Ruiz and Flores",Finance,Malaysia,275468,Custom Development,11,2024-06-15
110,"Christian, Nichols and Berg",Finance,Mongolia,472639,Consulting,14,2022-12-27
111,Manning-Gardner,Retail,South Georgia and the South Sandwich Islands,151709,Consulting,36,2024-11-08
112,"Jones, Harris and Lawson",Manufacturing,Tunisia,158855,Enterprise,6,2024-01-31
113,Brown-Mckee,Manufacturing,New Zealand,485579,SaaS,9,2023-04-15
114,Murphy-Reyes,Healthcare,Belarus,32210,Custom Development,8,2025-03-09
115,"King, Mahoney and Hardy",Retail,French Polynesia,27692,SaaS,34,2024-08-22
116,Nelson-Garcia,Finance,Vanuatu,314500,Custom Development,33,2024-11-19
117,Campbell-Perez,Technology,Qatar,95552,SaaS,15,2023-02-13
118,"Turner, Matthews and Scott",Finance,Moldova,59906,Enterprise,21,2023-05-22
119,"Fitzgerald, Marsh and Nichols",Healthcare,Pakistan,337142,Enterprise,14,2022-11-25
120,"Mcdonald, Anderson and Cervantes",Manufacturing,Central African Republic,236010,SaaS,28,2022-09-19
121,"Gill, Rodriguez and Stephens",Finance,Croatia,276549,Consulting,16,2023-10-01
122,Velasquez-Carter,Healthcare,Uruguay,343284,Consulting,36,2024-09-03
123,Henry-Sandoval,Healthcare,South Georgia and the South Sandwich Islands,286244,Custom Development,33,2023-01-27
124,Wade and Sons,Manufacturing,Myanmar,105487,SaaS,6,2022-04-02
125,"Hinton, Watson and Browning",Technology,Faroe Islands,463362,Enterprise,14,2024-01-29
126,"Rivera, Berger and Buchanan",Finance,Somalia,331308,SaaS,29,2023-03-24
127,Johnson-Shannon,Healthcare,French Polynesia,422895,SaaS,14,2022-08-28
128,Jones-Figueroa,Retail,Cambodia,110980,SaaS,11,2022-09-21
129,"Woods, Edwards and Goodman",Retail,Pakistan,77494,SaaS,19,2023-06-23
130,Romero-Ochoa,Retail,Suriname,276417,SaaS,22,2022-09-22
131,Villarreal and Sons,Technology,Ghana,414666,Enterprise,31,2023-02-05
132,Gonzalez PLC,Manufacturing,French Southern Territories,158842,Enterprise,9,2023-06-20
133,"Salas, Chambers and Abbott",Manufacturing,Palestinian Territory,282558,Consulting,27,2023-08-27
134,"Collins, Rice and Le",Manufacturing,Somalia,125219,Custom Development,9,2023-04-08
135,Garrison Inc,Technology,Qatar,307443,Enterprise,22,2024-05-13
136,Parker Inc,Manufacturing,Timor-Leste,452643,Enterprise,26,2023-06-23
137,Shields LLC,Retail,Pakistan,205084,Enterprise,29,2023-04-25
138,Garza-Padilla,Finance,Ghana,17812,Enterprise,23,2022-11-23
139,"Best, Burns and Soto",Finance,Congo,144813,Custom Development,12,2024-11-02
140,"Martin, Knight and Salinas",Healthcare,Philippines,129163,Custom Development,20,2024-07-30
141,Leach Inc,Retail,Afghanistan,437214,Consulting,20,2024-12-22
142,"Banks, Burnett and Beck",Healthcare,Marshall Islands,152590,Custom Development,7,2023-02-23
143,Simpson-Davis,Finance,Andorra,109415,Enterprise,23,2022-08-10
144,Gray-Allen,Technology,Saint Martin,243061,Consulting,32,2023-10-05
145,"Ramos, Sandoval and Rios",Healthcare,Guyana,159442,Consulting,17,2023-12-07
146,Baker LLC,Finance,Marshall Islands,41517,Consulting,15,2024-04-05
147,Reid Inc,Healthcare,South Georgia and the South Sandwich Islands,77192,Enterprise,23,2023-03-19
148,Lee-Robinson,Healthcare,Benin,251205,Enterprise,34,2023-04-27
149,Valdez-Mercado,Healthcare,Germany,342636,Custom Development,11,2023-05-21
150,"Carson, Hart and Lewis",Technology,Jersey,271701,SaaS,28,2023-08-14
151,Wood Ltd,Healthcare,Solomon Islands,151040,SaaS,28,2023-01-09
152,Durham Inc,Finance,Kenya,177028,Enterprise,13,2022-12-14
153,"Rocha, Thomas and Nelson",Healthcare,Macao,71491,Enterprise,23,2024-07-21
154,Morris-Dixon,Finance,United States of America,481384,Consulting,36,2024-10-25
155,Wright Inc,Retail,Norfolk Island,159143,SaaS,9,2024-07-26
156,"Wright, Thomas and Logan",Healthcare,Mauritania,170588,Consulting,15,2024-06-25
157,"Brock, Young and Werner",Manufacturing,Trinidad and Tobago,431984,SaaS,29,2024-02-24
158,Castaneda Group,Technology,Chad,329168,Enterprise,31,2022-05-19
159,Rollins PLC,Healthcare,Jersey,14612,Custom Development,25,2022-08-20
160,Camacho-Jones,Technology,Georgia,307810,Consulting,10,2022-08-13
161,"Lara, Phillips and Johns",Manufacturing,Lesotho,141426,Enterprise,8,2024-08-23
162,Smith Group,Manufacturing,United Kingdom,268359,SaaS,29,2023-12-10
163,"Braun, Murray and Johnson",Manufacturing,Saudi Arabia,412042,Custom Development,35,2025-03-01
164,"Shah, Jackson and Small",Retail,Congo,243261,Consulting,34,2024-12-13
165,"Riley, Arias and Burnett",Healthcare,Bahamas,474351,Enterprise,33,2023-04-19
166,Mitchell PLC,Healthcare,Brazil,377796,SaaS,31,2022-10-03
167,Martin-Nelson,Finance,Aruba,232414,Custom Development,14,2024-01-23
168,"Frederick, Washington and Sutton",Finance,United States of America,87625,SaaS,14,2023-07-25
169,Matthews LLC,Retail,India,386642,SaaS,13,2024-09-04
170,Armstrong-Davidson,Finance,Belize,19461,Enterprise,16,2022-04-30
171,Rodriguez-Harper,Retail,Liberia,324901,SaaS,22,2024-02-19
172,Austin-Stevenson,Manufacturing,Dominica,155103,Custom Development,14,2024-01-14
173,Underwood-Mcgee,Retail,Cyprus,352264,SaaS,33,2022-05-04
174,Lin-Allen,Retail,Azerbaijan,270426,Custom Development,17,2022-11-04
175,Torres-Green,Healthcare,Hong Kong,356643,SaaS,27,2024-01-03
176,Ray LLC,Healthcare,Gabon,29210,Custom Development,14,2022-07-27
177,Ramsey-Martinez,Healthcare,Austria,335920,SaaS,29,2023-04-19
178,Moreno and Sons,Finance,Guinea,283773,Custom Development,14,2023-08-13
179,Andrade-Leonard,Manufacturing,Barbados,468966,Enterprise,30,2022-03-29
180,Pittman Group,Healthcare,Algeria,194063,Consulting,6,2024-11-18
181,Galloway-Turner,Healthcare,Guyana,39166,Consulting,11,2024-08-07
182,"Hampton, Martin and Cameron",Retail,Croatia,43351,Custom Development,25,2022-04-19
183,Cox Inc,Healthcare,Lithuania,361054,Consulting,34,2024-04-16
184,"Fisher, Davis and Thomas",Manufacturing,Aruba,94634,SaaS,33,2023-02-04
185,Green Group,Manufacturing,Lesotho,450736,Enterprise,34,2023-05-04
186,Klein-Johnson,Technology,Nicaragua,341568,SaaS,22,2024-03-27
187,Carter-Villanueva,Retail,Korea,348403,SaaS,24,2024-11-12
188,Garcia Inc,Technology,Russian Federation,446107,Enterprise,11,2025-01-25
189,"Holder, Hill and Fleming",Healthcare,Tanzania,330987,Custom Development,9,2024-02-14
190,Weiss Ltd,Retail,Myanmar,335948,Consulting,27,2024-07-03
191,Pham-Levy,Manufacturing,New Caledonia,486722,Custom Development,14,2025-02-02
192,Conley Ltd,Technology,Croatia,215196,Consulting,32,2023-11-06
193,Green Inc,Manufacturing,Aruba,52033,Consulting,25,2022-10-06
194,Walker-Thompson,Healthcare,Central African Republic,182926,Enterprise,24,2023-10-29
195,"Fitzgerald, Parrish and Wilson",Technology,Malaysia,135497,SaaS,16,2024-11-16
196,Weeks Inc,Healthcare,Comoros,277804,SaaS,21,2023-08-02
197,"Gonzalez, Jackson and Miller",Technology,Myanmar,53896,SaaS,34,2024-09-16
198,"Byrd, Armstrong and Davis",Healthcare,Benin,331355,Enterprise,18,2023-07-22
199,Kane-May,Manufacturing,Central African Republic,120331,Consulting,21,2023-09-26
200,"Sandoval, Smith and Richardson",Healthcare,San Marino,235668,Consulting,33,2022-09-06
201,Rivera-Mcbride,Technology,France,222484,Custom Development,22,2023-05-30
202,Clark and Sons,Retail,Afghanistan,439675,SaaS,30,2022-04-18
203,Gonzalez-Rice,Finance,United Kingdom,451727,Consulting,31,2025-01-31
204,"Buck, Miller and Holt",Healthcare,Guatemala,375473,SaaS,26,2024-01-20
205,"Castro, Hall and Porter",Retail,Cocos (Keeling) Islands,425200,Consulting,12,2024-08-30
206,Ramos Inc,Manufacturing,Slovakia (Slovak Republic),359328,Consulting,26,2022-04-04
207,Rodriguez-Gray,Healthcare,Congo,446399,Consulting,17,2023-08-04
208,Hernandez-Jackson,Retail,Antigua and Barbuda,256914,Enterprise,13,2022-04-04
209,Parker-Cortez,Manufacturing,Iran,308298,SaaS,25,2022-07-23
210,"Boyd, Hayes and Miller",Retail,Tokelau,7279,Custom Development,28,2024-06-09
211,"Jarvis, Wilson and Francis",Healthcare,Martinique,490139,Custom Development,14,2025-02-12
212,"Knight, James and Evans",Technology,Jamaica,17904,Consulting,6,2024-01-22
213,Adams Group,Finance,Lao People's Democratic Republic,390615,Consulting,26,2024-09-25
214,Wilson-Harris,Finance,Moldova,84837,Enterprise,32,2023-05-19
215,Miles-Miles,Manufacturing,Comoros,57807,SaaS,16,2023-03-15
216,Porter-Diaz,Technology,Aruba,128843,Enterprise,20,2023-12-22
217,Edwards Group,Manufacturing,South Africa,72377,SaaS,34,2024-04-23
218,"Price, Tyler and Walker",Retail,Uruguay,25736,Custom Development,27,2022-08-30
219,Burns and Sons,Technology,Cameroon,206225,Enterprise,23,2024-08-23
220,"Guzman, Williams and Perez",Finance,Reunion,267090,Custom Development,15,2024-12-01
221,"Walsh, Medina and Blevins",Manufacturing,Uruguay,130492,Consulting,35,2022-09-06
222,Wells Ltd,Manufacturing,Samoa,186923,Custom Development,27,2024-06-27
223,Sandoval-Marshall,Finance,Jersey,385070,SaaS,22,2024-08-10
224,Welch-Knight,Finance,Albania,419132,SaaS,27,2024-07-19
225,Lopez LLC,Healthcare,Haiti,32161,SaaS,17,2025-03-12
226,King-Horton,Finance,Cameroon,175654,Enterprise,14,2023-12-18
227,Lambert-Anderson,Retail,Lebanon,70654,Enterprise,9,2023-07-30
228,"Roberts, Hunt and Hamilton",Technology,Congo,191795,Consulting,13,2022-04-22
229,"Rosales, Bennett and Williams",Healthcare,Qatar,50301,Enterprise,14,2022-08-24
230,"Hawkins, Martinez and Edwards",Retail,Montserrat,320685,Enterprise,13,2023-09-20
231,Johnson-Collins,Retail,Cameroon,293399,Consulting,15,2022-04-11
232,"Reed, Clay and Hays",Finance,Kazakhstan,102178,SaaS,33,2022-09-28
233,Foster-Rich,Healthcare,Iceland,284688,Consulting,26,2022-06-04
234,Smith Inc,Retail,China,226886,SaaS,34,2024-12-22
235,Lewis Group,Finance,Tuvalu,482772,Enterprise,33,2024-07-29
236,Pena-Scott,Healthcare,Isle of Man,293394,Custom Development,13,2023-02-08
237,Thompson Inc,Retail,Samoa,364696,Enterprise,8,2024-03-05
238,Hamilton LLC,Healthcare,France,336583,Enterprise,17,2025-02-10
239,Nicholson-White,Manufacturing,Niue,299736,Custom Development,33,2023-08-21
240,Vasquez Inc,Manufacturing,Turkey,146543,Custom Development,26,2023-08-19
241,Young-Harris,Manufacturing,Gibraltar,349145,Enterprise,11,2024-10-18
242,Sims Inc,Manufacturing,Luxembourg,339858,Enterprise,17,2023-04-04
243,"Fowler, Williams and Miller",Retail,Netherlands,364512,Custom Development,18,2024-05-10
244,Carrillo-Hayes,Manufacturing,Bangladesh,121207,Custom Development,25,2024-12-03
245,"Craig, Morris and Willis",Manufacturing,Liechtenstein,415638,Custom Development,19,2024-08-23
246,Singleton-Yoder,Technology,Svalbard & Jan Mayen Islands,174130,Custom Development,35,2022-07-14
247,"Hall, Warner and Wilson",Healthcare,Sweden,195677,Custom Development,14,2023-08-24
248,"Santos, Villa and Allen",Healthcare,Hungary,16178,Consulting,28,2023-08-03
249,Torres-Harrington,Healthcare,Australia,190248,Enterprise,25,2022-09-24
250,"Cunningham, Holloway and Allen",Retail,Peru,204308,Custom Development,25,2022-05-24
251,George LLC,Finance,Eritrea,445272,SaaS,31,2023-11-10
252,Smith and Sons,Finance,United States of America,116749,Enterprise,17,2022-12-12
253,"Ross, Evans and Robertson",Retail,Peru,492696,Custom Development,10,2022-12-30
254,"West, Hickman and Vasquez",Technology,Bermuda,356085,Enterprise,24,2023-02-09
255,Jones PLC,Healthcare,Zambia,420141,Enterprise,18,2023-03-19
256,"Jackson, Peterson and Berg",Technology,Reunion,198181,Custom Development,12,2022-07-21
257,"White, Collins and Scott",Finance,Nigeria,225087,SaaS,15,2022-06-09
258,Thompson-Jones,Manufacturing,Wallis and Futuna,336537,SaaS,12,2024-07-12
259,"Reilly, Reyes and Reyes",Healthcare,Bosnia and Herzegovina,181969,Enterprise,12,2023-02-03
260,Lynch Ltd,Technology,Honduras,289479,Custom Development,34,2023-09-29
261,"Dennis, Wells and Douglas",Manufacturing,Isle of Man,455102,Custom Development,12,2023-11-10
262,Perez and Sons,Manufacturing,Turkey,54028,Custom Development,21,2024-02-04
263,"Clark, Warren and Cunningham",Healthcare,Congo,14949,Custom Development,20,2024-03-19
264,"King, Crawford and Anderson",Finance,Bahrain,212130,Custom Development,19,2022-05-14
265,Cooper PLC,Retail,Chad,244610,Enterprise,33,2024-09-30
266,"Fowler, Martin and Rose",Retail,Guatemala,344256,Consulting,10,2022-11-08
267,Stout PLC,Healthcare,Mexico,64356,Consulting,33,2024-11-20
268,"Glover, Richards and Klein",Retail,Honduras,213324,Enterprise,36,2025-02-10
269,Colon Group,Finance,South Africa,8584,Custom Development,10,2023-07-03
270,Evans PLC,Manufacturing,Mauritania,68535,Enterprise,17,2024-08-19
271,"Smith, Cunningham and Guzman",Technology,Kyrgyz Republic,6987,SaaS,25,2024-01-29
272,Bradshaw Group,Retail,Guadeloupe,225160,Enterprise,23,2024-04-23
273,Andrews-Mcknight,Healthcare,Gambia,455069,SaaS,19,2024-12-31
274,Hunter Ltd,Healthcare,Cameroon,203336,Enterprise,10,2024-03-14
275,"Jackson, Spencer and Ball",Finance,Peru,195568,SaaS,9,2025-03-06
276,Craig-Smith,Healthcare,Iceland,427987,SaaS,25,2024-08-12
277,Porter LLC,Technology,Eritrea,118134,Custom Development,9,2023-08-10
278,"Burke, Brown and Baker",Healthcare,Nepal,430817,SaaS,23,2025-01-06
279,Howard-Hobbs,Finance,Ghana,47145,Custom Development,6,2023-11-02
280,Ingram and Sons,Finance,Saint Barthelemy,394362,SaaS,13,2022-06-17
281,Hale and Sons,Finance,Puerto Rico,144597,SaaS,35,2023-12-03
282,Baker-Johnson,Technology,Jamaica,389825,Consulting,16,2025-02-22
283,Jensen-Montgomery,Healthcare,Thailand,493877,Custom Development,17,2022-06-30
284,"Edwards, Osborne and Liu",Healthcare,Saint Kitts and Nevis,186439,Consulting,16,2023-11-18
285,Turner-Williams,Technology,Yemen,169555,Enterprise,31,2022-11-30
286,Hernandez-King,Technology,Monaco,204642,Consulting,18,2022-11-04
287,Lane-Harvey,Technology,Portugal,322277,Enterprise,35,2022-07-27
288,Bonilla-Carter,Technology,Sweden,285728,Custom Development,16,2024-02-21
289,"Garner, Gilmore and Lopez",Manufacturing,Niue,261270,SaaS,10,2022-07-23
290,Jenkins and Sons,Manufacturing,Greece,426675,Enterprise,18,2023-03-28
291,Patel-Salazar,Finance,Isle of Man,440736,Consulting,10,2022-11-09
292,"Cortez, Allen and Murray",Technology,Bosnia and Herzegovina,248349,Custom Development,26,2022-12-13
293,Dawson Inc,Finance,Turkmenistan,433015,Consulting,18,2023-05-12
294,Kim Ltd,Finance,Bolivia,140934,Enterprise,35,2022-12-28
295,"Williams, Lam and Gardner",Finance,Macao,288793,Enterprise,33,2024-08-03
296,Mccarthy-Nichols,Manufacturing,Martinique,314288,SaaS,18,2025-02-12
297,"Mejia, Watson and Allen",Retail,Uganda,74826,SaaS,26,2022-11-10
298,Ibarra-Larsen,Retail,Serbia,132863,Enterprise,26,2022-03-14
299,Gonzalez Group,Healthcare,Turkey,486876,Consulting,12,2024-05-11
300,Ferguson-Rodriguez,Retail,Timor-Leste,408250,SaaS,9,2024-08-18
301,"Hammond, Sosa and Barnett",Manufacturing,Fiji,212604,Custom Development,25,2022-06-21
302,Garcia LLC,Technology,Slovenia,487423,Enterprise,25,2023-12-29
303,Stone-Randall,Manufacturing,Cayman Islands,365558,Consulting,6,2023-02-05
304,Travis Group,Technology,Niger,31639,Consulting,36,2024-12-07
305,Callahan-Miller,Manufacturing,Qatar,312777,Custom Development,29,2023-11-08
306,Griffin-Lee,Finance,Montenegro,65970,Custom Development,21,2024-07-01
307,Murphy-Horton,Finance,Belarus,466716,SaaS,24,2024-05-07
308,"Harris, Waller and Fitzgerald",Healthcare,Micronesia,434849,Consulting,18,2023-08-03
309,Griffith LLC,Manufacturing,Lesotho,347525,Consulting,14,2024-01-17
310,"Miller, Thomas and Gilbert",Retail,Bahrain,40645,Enterprise,10,2024-07-15
311,Shelton-May,Technology,Syrian Arab Republic,201663,Enterprise,17,2023-04-06
312,Perez-Adams,Retail,Jordan,59854,SaaS,33,2022-11-20
313,"Carter, Murphy and Guzman",Technology,Northern Mariana Islands,269866,Enterprise,9,2024-03-03
314,Robinson-Jordan,Manufacturing,Chad,162106,Enterprise,12,2023-02-17
315,"Anderson, Miller and Herring",Technology,Panama,82317,Enterprise,16,2022-05-01
316,"Brown, Chang and Ayers",Technology,Grenada,421481,SaaS,26,2025-01-31
317,Campbell-Thomas,Technology,United States Virgin Islands,192208,SaaS,23,2023-12-04
318,"Bailey, Vega and Jackson",Manufacturing,Tonga,126886,SaaS,32,2024-12-29
319,"Mccann, Adkins and Gonzalez",Retail,Bosnia and Herzegovina,7812,SaaS,35,2024-06-08
320,Erickson Group,Healthcare,Spain,78243,Consulting,27,2022-04-06
321,White-Morgan,Technology,Somalia,298086,Enterprise,26,2024-05-31
322,Valdez Group,Retail,Brazil,196632,Custom Development,25,2024-06-25
323,Irwin-Bailey,Retail,Mauritius,270729,Consulting,8,2023-04-20
324,Gomez-Miller,Manufacturing,United Arab Emirates,210894,Consulting,10,2024-12-19
325,Wright Ltd,Finance,Bouvet Island (Bouvetoya),485462,SaaS,31,2023-11-25
326,"Ortiz, Robinson and Kerr",Manufacturing,Gibraltar,85453,Enterprise,36,2024-01-21
327,"Monroe, Miller and Martin",Finance,Mauritania,226700,Custom Development,33,2022-07-21
328,Lopez Inc,Technology,Qatar,187097,SaaS,25,2022-10-20
329,"Wagner, Johnson and Johnson",Healthcare,Belize,268797,Consulting,17,2023-03-16
330,Roman-Walker,Finance,Bulgaria,47285,Enterprise,35,2023-02-03
331,"Scott, Lopez and Collins",Retail,Swaziland,94035,SaaS,6,2024-04-30
332,"Richards, Castro and Moore",Finance,Jersey,427948,SaaS,28,2023-10-14
333,Thompson LLC,Finance,Taiwan,41349,Enterprise,23,2023-01-09
334,"Jenkins, Jones and Lambert",Healthcare,Hong Kong,309986,Consulting,9,2024-03-16
335,Smith-Williams,Retail,Japan,95945,SaaS,9,2024-03-22
